City,Date
Quebec,1815
Quebec,1826
Quebec,1827
Montreal,1845
Montreal,1845
Toronto,1854
Montreal,1855
Montreal,1856
Montreal,1861
Montreal,1863
Montreal,1866
S.l.,1867
St.John,1871
Montreal,1871
Montreal,1872
Montreal,1872
Montreal,1872
Montreal,1872
Montreal,1874
Montreal,1874
Toronto,1874
Montreal,1874
Montreal,1874
Montreal,1874
Montreal,1875
Montreal,1875
Montreal,1875
Montreal,1875
Toronto,1875
Montreal,1875
Toronto,1875
Montreal,1875
Montreal,1875
Montreal,1876
Montreal,1876
Montreal,1876
Montreal,1876
Toronto,1876
Montreal,1876
Toronto,1876
Montreal,1876
Toronto,1876
Montreal,1877
Toronto,1877
Montreal,1877
Toronto,1877
Montreal,1877
Montreal,1877
Toronto,1878
Montreal,1879
Toronto,1879
Toronto,1880
Montreal,1880
Montreal,1881
Toronto,1882
Toronto,1882
Toronto,1882
Toronto,1882
Toronto,1882
Montreal,1882
Toronto,1883
Toronto,1883
Toronto,1883
St.John,1884
Montreal,1885
Halifax,1885
Montreal,1885
Montreal,1885
Montreal,1885
Toronto,1885
Montreal,1885
S.l.,1886
Montreal,1886
Ottawa,1886
Montreal,1886
Ottawa,1887
Montreal,1887
Ottawa,1887
Ottawa,1888
Toronto,1889
Montreal,1890
Ottawa,1890
Montreal,1890
Ottawa,1891
Winnipeg,1892
Ottawa,1893
Toronto,1893
Toronto,1894
Toronto,1895
Toronto,1895
Montreal,1896
Toronto,1896
Montreal,1896
Kingston,1899
Toronto,1900
Toronto,1900
Toronto,1900
S.l.,1900
Toronto,1900
Toronto,1900
